File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client\logic\ViewController.java,217,168,142,6,37,0,12,61,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client\remote\ServerCommunication.java,122,101,83,15,14,0,7,46,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client\view\FormMain.java,89,62,54,0,15,0,12,46,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client\view\PaneDataManipulation.java,244,193,172,10,45,0,6,32,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\domain\Admin.java,63,50,34,12,13,0,0,0,0,0
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\domain\FitnessTest.java,69,52,38,6,17,0,0,0,0,0
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\domain\FitnessTestResult.java,87,64,46,8,23,0,0,0,0,0
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\domain\Instructor.java,18,11,8,1,7,0,0,0,0,0
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\domain\Person.java,72,59,41,16,13,0,0,0,0,0
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\domain\Trainee.java,18,11,8,1,7,0,0,0,0,0
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\remote\TransferObject.java,80,56,43,4,17,1,7,52,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\logic\db\DatabaseController.java,272,226,195,14,41,2,5,52,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\logic\thread\ThreadClient.java,100,86,65,9,8,3,6,61,4,18
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\logic\thread\ThreadServer.java,26,18,13,1,4,0,4,18,4,18
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\remote\ClientCommunication.java,44,27,20,3,12,0,5,31,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\view\FormMain.java,101,68,62,1,21,1,12,49,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\test\com\miloscaranovic\fts\domain\AdminTest.java,118,60,42,0,16,0,42,222,5,31
