Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,17,1740,1312,1066,107,310,7,118,670,53,315
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem,17,1740,1312,1066,107,310,7,118,670,53,315
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src,16,1622,1252,1024,107,294,7,76,448,48,284
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com,16,1622,1252,1024,107,294,7,76,448,48,284
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic,16,1622,1252,1024,107,294,7,76,448,48,284
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts,16,1622,1252,1024,107,294,7,76,448,48,284
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client,4,672,524,451,31,111,0,37,185,20,124
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client\logic,1,217,168,142,6,37,0,12,61,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client\remote,1,122,101,83,15,14,0,7,46,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\client\view,2,333,255,226,10,60,0,18,78,10,62
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\domain,6,327,247,175,44,80,0,0,0,0,0
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\remote,1,80,56,43,4,17,1,7,52,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server,5,543,425,355,28,86,6,32,211,23,129
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\logic,3,398,330,273,24,53,5,15,131,13,67
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\logic\db,1,272,226,195,14,41,2,5,52,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\logic\thread,2,126,104,78,10,12,3,10,79,8,36
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\remote,1,44,27,20,3,12,0,5,31,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\src\com\miloscaranovic\fts\server\view,1,101,68,62,1,21,1,12,49,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\test,1,118,60,42,0,16,0,42,222,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\test\com,1,118,60,42,0,16,0,42,222,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\test\com\miloscaranovic,1,118,60,42,0,16,0,42,222,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\test\com\miloscaranovic\fts,1,118,60,42,0,16,0,42,222,5,31
C:\Users\Caranovic\Desktop\Fakultet\SE201Projekat-FitnessTrainingSystem-CaranovicMilos3107\FitnessTrainingSystem\test\com\miloscaranovic\fts\domain,1,118,60,42,0,16,0,42,222,5,31
